"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"2149","Didier Digard","Defensive Midfield",21,"Paris SG","Ligue 1","Middlesbrough","Premier League","2008",3,5,2,"Big5","Big5"
"2150","Nicolás Pareja","Centre-Back",24,"RSC Anderlecht","Jupiler Pro League","Espanyol","LaLiga","2008",2.75,5,2.25,"Europe","Big5"
"2151","Charles","Defensive Midfield",23,"Cruzeiro","Serie A","Loko Moscow","Russian Premier Liga","2008",2.3,5,2.7,"Big5","Europe"
"2152","Karim El Ahmadi","Central Midfield",23,"FC Twente","Eredivisie","Feyenoord","Eredivisie","2008",2,5,3,"Europe","Europe"
"2153","Renan","Goalkeeper",23,"Internacional","Serie A","Valencia CF","LaLiga","2008",1.7,5,3.3,"Big5","Big5"
"2154","Cristian Sapunaru","Centre-Back",24,"Rapid Bucharest","Liga 1","FC Porto","Liga NOS","2008",1.4,5,3.6,"Europe","Europe"
"2157","Hugo Rodallega","Centre-Forward",23,"Necaxa","Liga MX","Wigan","Premier League","2008",4,4.8,0.8,"Americas","Big5"
"2158","Gianluca Comotto","Centre-Back",29,"Torino","Serie A","Fiorentina","Serie A","2008",2.7,4.8,2.1,"Big5","Big5"
"2159","Andrea Lazzari","Central Midfield",23,"Atalanta","Serie A","Cagliari Calcio","Serie A","2008",2,4.8,2.8,"Big5","Big5"
"2160","Moussa Maazou","Centre-Forward",20,"KSC Lokeren","Jupiler Pro League","CSKA Moscow","Russian Premier Liga","2008",2,4.8,2.8,"Europe","Europe"
"2161","Rubén de la Red","Central Midfield",23,"Getafe CF","LaLiga","Real Madrid","LaLiga","2008",6,4.7,-1.3,"Big5","Big5"
"2162","Fernando Navarro","Left-Back",26,"RCD Mallorca","LaLiga","Sevilla FC","LaLiga","2008",6,4.7,-1.3,"Big5","Big5"
"2163","Rafael Carioca","Defensive Midfield",19,"Grêmio","Serie A","Spartak Moscow","Russian Premier Liga","2008",4,4.7,0.7,"Big5","Europe"
"2164","Tomás Sivok","Centre-Back",24,"Udinese Calcio","Serie A","Besiktas","Süper Lig","2008",3.8,4.7,0.9,"Big5","Europe"
"2165","Djiby Fall","Centre-Forward",23,"Odense BK","Superligaen","Loko Moscow","Russian Premier Liga","2008",3.5,4.7,1.2,"Europe","Europe"
"2166","Giuliano","Attacking Midfield",18,"Paraná","Serie B","Internacional","Serie A","2008",0.7,4.7,4,"Big5 B","Big5"
"2167","Fernando Meira","Centre-Back",30,"VfB Stuttgart","Bundesliga","Galatasaray","Süper Lig","2008",10,4.5,-5.5,"Big5","Europe"
"2168","Emre Bel?zoglu","Central Midfield",27,"Newcastle","Premier League","Fenerbahce","Süper Lig","2008",7.5,4.5,-3,"Big5","Europe"
"2169","Fabian Ernst","Defensive Midfield",29,"FC Schalke 04","Bundesliga","Besiktas","Süper Lig","2008",7,4.5,-2.5,"Big5","Europe"
"2170","Frédéric Piquionne","Centre-Forward",29,"Monaco","Ligue 1","Olympique Lyon","Ligue 1","2008",7,4.5,-2.5,"Big5","Big5"
"2171","Kevin Nolan","Attacking Midfield",26,"Bolton","Premier League","Newcastle","Premier League","2008",6.5,4.5,-2,"Big5","Big5"
"2172","Francesco Modesto","Left-Back",26,"Reggina","Serie A","Genoa","Serie A","2008",5,4.5,-0.5,"Big5","Big5"
"2173","Maurizio Domizzi","Centre-Back",28,"SSC Napoli","Serie A","Udinese Calcio","Serie A","2008",5,4.5,-0.5,"Big5","Big5"
"2174","Marat Izmailov","Central Midfield",25,"Loko Moscow","Russian Premier Liga","Sporting CP","Liga NOS","2008",3.5,4.5,1,"Europe","Europe"
"2175","Nadir Belhadj","Left-Back",26,"Lens","Ligue 2","Portsmouth","Premier League","2008",3.5,4.5,1,"Big5 B","Big5"
"2176","Jaime Gavilán","Left Winger",23,"Valencia CF","LaLiga","Getafe CF","LaLiga","2008",3,4.5,1.5,"Big5","Big5"
"2177","Tomas Necid","Centre-Forward",19,"Slavia Prag","HET Liga","CSKA Moscow","Russian Premier Liga","2008",2.5,4.5,2,"Europe","Europe"
"2178","Neven Subotic","Centre-Back",19,"1.FSV Mainz 05","2.Bundesliga","Bor. Dortmund","Bundesliga","2008",2.5,4.5,2,"Big5 B","Big5"
"2179","Pedro Geromel","Centre-Back",22,"Vit. Guimar?es","Liga NOS","1. FC K?ln","Bundesliga","2008",1.5,4.5,3,"Europe","Big5"
"2180","Stefan Radu","Left-Back",21,"Dinamo Bukarest","Liga 1","Lazio","Serie A","2008",1.4,4.5,3.1,"Europe","Big5"
